"","PC1","PC2","PC3","PC4","PC5"
"2.A.1 Active Listening",-0.137967378117843,-0.0418308823672447,0.0219577696990621,-0.0487512785986548,0.0033584502372577
"2.A.1 Mathematics",-0.0862496245360272,0.0889083041302185,0.166116309042472,0.0513312267274854,-0.132614820422116
"2.A.1 Reading Comprehension",-0.137732763034982,-0.00890402255681733,0.101360867180398,-0.0529219173198243,-0.03728827029882
"2.A.1 Science",-0.0668662653431541,0.0873244523442652,0.130213824614588,-0.182271037672348,-0.132607259925752
"2.A.1 Speaking",-0.14090764449237,-0.0383263421788463,-0.00524430510296037,-0.0221982159004001,-0.00810261382126991
"2.A.1 Writing",-0.136828101037165,-0.0220298654446329,0.0815420915154444,-0.0402508684810477,-0.0145741955274203
"2.A.2 Active Learning",-0.139995556068533,0.0224552770964843,0.0424861937883662,-0.0487502967472368,-0.00279380571345983
"2.A.2 Critical Thinking",-0.138519780368424,0.0320668821820949,0.0456359975557637,-0.0462896917679556,-0.0524332782312706
"2.A.2 Learning Strategies",-0.126920694387596,0.0196551311297847,-0.0581855854590601,-0.0590743230087204,-0.0161734511230572
"2.A.2 Monitoring",-0.123276080006901,0.051450904171785,-0.0659802057912878,-0.0344705121347891,-0.093836629664232
"2.B.1 Coordination",-0.119820653302226,0.0403006288056372,-0.143676039604495,0.0622511838483168,-0.0135540070876377
"2.B.1 Instructing",-0.126666541906913,0.0291071702463794,-0.067902928955674,-0.0597097950545995,-0.0154874770616451
"2.B.1 Negotiation",-0.128601953428173,-0.0200102066383004,-0.0879051797897879,0.0976934230247092,0.0083501237318106
"2.B.1 Persuasion",-0.132985866269185,-0.0211362522661236,-0.0712485544910259,0.0702834705629037,0.0178875832224251
"2.B.1 Service Orientation",-0.106862026244609,-0.0858612130562948,-0.10645591452014,-0.0658498685129636,0.0579451088018748
"2.B.1 Social Perceptiveness",-0.126519691948369,-0.0591369409069962,-0.124901479220049,-0.0531236145360381,-0.00496414067452561
"2.B.2 Complex Problem Solving",-0.131813128524462,0.0733228984783928,0.0630553773009248,-0.0278555746974547,-0.0190085131741837
"2.B.3 Equipment Maintenance",0.071740238421217,0.177475512227736,-0.0521983509618261,-0.0647665862376643,0.111586096466387
"2.B.3 Equipment Selection",0.0607905279551106,0.19431115775662,-0.0264571301021238,-0.0380601186103447,0.0865344423186544
"2.B.3 Installation",0.0333924536636628,0.125663206223027,0.0226936256708614,-0.0430252404932441,0.220553166820189
"2.B.3 Operation and Control",0.0775658764089586,0.173630992304176,-0.0833025616824262,-0.071917777983125,0.0158950282210448
"2.B.3 Operation Monitoring",0.0594118513351239,0.201294386484026,-0.0430659716869613,-0.0728141925960635,-0.0305616665616167
"2.B.3 Operations Analysis",-0.0916881967749951,0.0980390395265009,0.089803711415835,0.0903547697844921,-0.0316460303803372
"2.B.3 Programming",-0.0509446780665946,0.0371613487399322,0.229056887552667,0.0106289065156567,-0.00562618201546509
"2.B.3 Quality Control Analysis",0.0402423815704598,0.209013783494359,0.0106134519207169,-0.0310407858616332,-0.0335416682018191
"2.B.3 Repairing",0.0695320099757454,0.175408921747065,-0.0480527847616116,-0.0588901625213934,0.129415123821964
"2.B.3 Technology Design",-0.0449986438973837,0.130572694369648,0.161994803716877,0.0065954938751075,0.0490132107476162
"2.B.3 Troubleshooting",0.0621396093889987,0.20385305486416,-0.0175101361276223,-0.0694088905514104,0.0927259533083538
"2.B.4 Judgment and Decision Making",-0.136349978008384,0.038012117745007,0.0251631489858879,-0.0274119843721263,-0.0451503962264778
"2.B.4 Systems Analysis",-0.131569051791064,0.0774025221052597,0.0597347541979002,0.021648882858416,-0.0324329843301437
"2.B.4 Systems Evaluation",-0.131491813618119,0.0786706747818631,0.0347186947720066,0.0199138687508389,-0.0350355497167732
"2.B.5 Management of Financial Resources",-0.102623907355856,0.0567897030388924,-0.0646003174688221,0.202106348426196,-0.0892081668813121
"2.B.5 Management of Material Resources",-0.0966764499388882,0.0909387008304943,-0.0938509209502563,0.165098551956883,-0.0754474761973974
"2.B.5 Management of Personnel Resources",-0.114762980161238,0.0675605628082172,-0.133542156155404,0.097324337681118,-0.0836236859481245
"2.B.5 Time Management",-0.124928840184339,0.0435882187351468,-0.0842442309262625,0.066576988571491,-0.0518893519878617
"2.C.1 Administration and Management",-0.118440492699724,0.0393232677993969,-0.0799146066475713,0.157052698119484,-0.0120982940859205
"2.C.1 Clerical",-0.0884778224328166,-0.083951022442865,0.0383845655315041,0.0230530148859314,0.0262486403937796
"2.C.1 Customer and Personal Service",-0.0876983116326898,-0.0771487380370584,-0.0935846000239265,-0.0448857174403046,0.114000686193542
"2.C.1 Economics and Accounting",-0.0864782528978884,-0.016806065460491,0.00529473018588413,0.163340977343273,-0.0511809726895292
"2.C.1 Personnel and Human Resources",-0.113304894311508,0.0187872750496499,-0.137917497860862,0.0979239822810359,-0.0443414024499347
"2.C.1 Sales and Marketing",-0.0649958912466043,-0.0378357225540957,-0.0417787740127461,0.166650245590481,0.122003109279512
"2.C.1 Transportation",-0.00693414630725476,0.0724612052254972,-0.0823941987151061,0.0133293011344668,0.119020913784369
"2.C.2 Food Production",0.0113759732637909,0.0077969608385563,-0.0847283139054273,0.0412199871088962,-0.0845985361418716
"2.C.2 Production and Processing",0.0129302357235864,0.145882894218699,-0.0328533144684864,0.145626451092083,-0.157056709269812
"2.C.3 Building and Construction",-0.00260888623434075,0.139382405144191,-0.0252104808315159,0.0897019407082689,0.132487948537561
"2.C.3 Computers and Electronics",-0.0920740907869542,0.0290921985051267,0.194699080683186,-0.00499553616665549,0.104909280292392
"2.C.3 Design",-0.0212899801201859,0.163434722873701,0.112296655815843,0.115977927839985,0.110948928318877
"2.C.3 Engineering and Technology",-0.028041760439936,0.193321112105982,0.130243105488174,0.05619562075244,0.0378828656431357
"2.C.3 Mechanical",0.0418107709350282,0.213189711188413,-0.0492172024355346,0.00244453535515924,0.0569950711938866
"2.C.4 Biology",-0.0502851269052551,0.0189556136147291,-0.0193353176581844,-0.197214657452425,-0.142780686276191
"2.C.4 Chemistry",-0.0162059724375888,0.13032049732318,0.0124542335231727,-0.138704946450876,-0.127003655520528
"2.C.4 Geography",-0.0596752188351129,0.0210200089180295,0.0456587871450339,-0.00966916204313835,0.168194889186453
"2.C.4 Mathematics",-0.072729079220869,0.112163647340858,0.163971665082253,0.0533445023689601,-0.08464953891183
"2.C.4 Physics",-0.0234842970873101,0.178482972868513,0.104372822089645,-0.0757191849090411,0.0442691153684984
"2.C.4 Psychology",-0.0938440467998327,-0.0664345576379993,-0.13446338320475,-0.192460993143918,0.0145588199322657
"2.C.4 Sociology and Anthropology",-0.0928681832175116,-0.0990226988193122,-0.0761071965612167,-0.155492160300782,0.108955062211094
"2.C.5 Medicine and Dentistry",-0.0435152496015466,-0.022035182233306,-0.0636186686006178,-0.261302096745946,-0.142475961694188
"2.C.5 Therapy and Counseling",-0.0696554902637888,-0.0678575329434701,-0.128367322828698,-0.227548942285902,-0.0281587574069442
"2.C.6 Education and Training",-0.103475460107945,0.0158778260409329,-0.108103281403962,-0.115282432673433,0.0231153309834877
"2.C.7 English Language",-0.120826423578444,-0.0691550913637529,0.088060228041638,-0.0645985325944006,0.128360090495539
"2.C.7 Fine Arts",-0.0146921139143214,-0.0503014588852064,0.00994949938473185,0.05439584307188,0.244607777758866
"2.C.7 Foreign Language",-0.046778182201317,-0.0490686446176194,-0.0395544050841809,-0.0773860793444327,0.15520274237691
"2.C.7 History and Archeology",-0.0532682320927233,-0.0484574326837179,0.0117537255338293,-0.0271646430239004,0.232351013258478
