noc_2016,noc_title,harm.rank06,harm.rank16,harm.rank21,Diff 21 - 06,Diff 21 - 16,Skill Type,,,,,
7305,"Supervisors, motor transport and other ground transit operators",299.5414602,302.8610214,240.7274175,-58.81404274,-62.13360392,3,,,,,
5252,Coaches,246.3686363,204.2198709,187.6538007,-58.71483563,-16.56607022,2,,,,,
7612,Other trades helpers and labourers,208.776617,266.1048839,151.2057621,-57.57085484,-114.8991218,6,,,,,
2152,Landscape architects,113.9924201,81.57840089,57.30078624,-56.69163389,-24.27761465,1,,,,,
5231,Announcers and other broadcasters,90.70026781,28.69521304,35.08234468,-55.61792313,6.387131648,2,,,,,
1511,"Mail, postal and related workers",366.5963587,351.334444,311.3351377,-55.26122095,-39.99930626,5,,,,,
6512,Bartenders,410.9809985,387.8451708,355.9359014,-55.04509712,-31.90926943,5,,,,,
6733,"Janitors, caretakers and building superintendents",349.2369131,410.3598424,294.3066761,-54.93023704,-116.0531663,7,,,,,
8613,Aquaculture and marine harvest labourers,392.4109364,396.8298333,340.0395058,-52.37143059,-56.79032749,6,,,,,
4163,Business development officers and marketing researchers and consultants,128.5662189,68.2962573,78.21367159,-50.35254731,9.917414288,1,,,,,
1414,Receptionists,269.6816187,203.956907,219.3637498,-50.3178689,15.40684281,4,,,,,
6721,"Support occupations in accommodation, travel and facilities set-up services",349.6472455,355.3751356,301.5858631,-48.06138248,-53.78927255,7,,,,,
2254,Land survey technologists and technicians,103.857742,108.8225071,59.33914671,-44.51859533,-49.48336043,2,,,,,
3223,"Dental technologists, technicians and laboratory assistants",201.6831611,113.28312,157.8659084,-43.8172527,44.58278843,2,,,,,
1228,"Employment insurance, immigration, border services and revenue officers",160.9267491,162.484295,117.9563836,-42.97036549,-44.52791138,2,,,,,
7621,Public works and maintenance labourers,393.3724027,323.201488,350.9697234,-42.40267933,27.76823544,6,,,,,
5133,Musicians and singers,418.3338454,371.1460023,377.0585237,-41.27532168,5.912521353,1,,,,,
4153,"Family, marriage and other related counsellors",316.5769826,315.3590784,276.1956737,-40.38130888,-39.16340464,1,,,,,
7372,"Drillers and blasters - surface mining, quarrying and construction",269.073858,211.5910618,229.5228553,-39.55100274,17.93179347,3,,,,,
7373,Water well drillers,269.073858,211.5910618,229.5228553,-39.55100274,17.93179347,3,,,,,
3122,Chiropractors,242.2707241,183.8647399,203.6154994,-38.65522463,19.75075957,1,,,,,
6346,Funeral directors and embalmers,247.3356005,212.0086678,210.9960172,-36.3395833,-1.01265058,3,,,,,
5125,"Translators, terminologists and interpreters",309.95055,126.6487859,274.0803692,-35.87018076,147.4315834,1,,,,,
2121,Biologists and related scientists,129.7913614,98.61523706,94.12378556,-35.66757583,-4.491451503,1,,,,,
5222,Film and video camera operators,67.78062475,28.54660832,33.09626151,-34.68436324,4.549653184,2,,,,,
1431,Accounting and related clerks,222.0091697,248.813483,187.628016,-34.38115372,-61.18546706,4,,,,,
7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",188.2045072,77.94100518,154.5280423,-33.67646488,76.58703714,3,,,,,
731,Managers in transportation,175.3451413,164.5175581,141.9142873,-33.43085394,-22.60327082,3,,,,,
