"","PC1","PC2","PC3","PC4","PC5"
"2.A.1 Active Listening",-0.138375066293063,-0.0403547385069065,0.0301956966233345,-0.04106150010923,0.0236197193364235
"2.A.1 Mathematics",-0.087365802427039,0.0883177866898497,0.161007751235294,0.0494420717696261,-0.134801196712116
"2.A.1 Reading Comprehension",-0.136252914755335,-0.0151400821730749,0.102193634955663,-0.0590992387668854,-0.00594055772799766
"2.A.1 Science",-0.0688305058874378,0.0877805172317524,0.13164149241141,-0.183394534492218,-0.084804022688665
"2.A.1 Speaking",-0.142227170840395,-0.0381735037743308,0.00431410828116774,-0.0131083952638976,0.0142468909220543
"2.A.1 Writing",-0.136271608744955,-0.0221601309093164,0.0857457208813006,-0.0430167599680796,0.00471722472865041
"2.A.2 Active Learning",-0.140254296385401,0.0159331563756491,0.0552606345943352,-0.0441217181106967,0.0206846441179875
"2.A.2 Critical Thinking",-0.139485459363425,0.024275184795631,0.0632552504871227,-0.0365520538225301,-0.00367661053893781
"2.A.2 Learning Strategies",-0.128173149546726,0.0183325326804859,-0.028874080189546,-0.0496698163719155,0.0470463342867948
"2.A.2 Monitoring",-0.124523268441326,0.0544024375226736,-0.0670180925881193,-0.0187645683185771,-0.0634448313815186
"2.B.1 Coordination",-0.117690701268527,0.0376796315223637,-0.135026438048049,0.0816319358459714,0.0182010943747589
"2.B.1 Instructing",-0.12774482848123,0.0208472551630993,-0.0462351776761301,-0.049622233284034,0.044904015722792
"2.B.1 Negotiation",-0.127372116448979,-0.0260982686718036,-0.0749175553008463,0.122077779383838,0.00847896723306729
"2.B.1 Persuasion",-0.13181380359136,-0.0310199773622859,-0.0575713633993756,0.0822546098539988,0.034694860521555
"2.B.1 Service Orientation",-0.10883777611383,-0.0837959359004765,-0.102681132915722,-0.0559485642569307,0.072673527967831
"2.B.1 Social Perceptiveness",-0.12461459422664,-0.0582352431879024,-0.118881434331785,-0.043603897284375,0.0426844378443179
"2.B.2 Complex Problem Solving",-0.133896720914958,0.0630386596336048,0.0682681545612319,-0.0231847545020947,0.0114067699789417
"2.B.3 Equipment Maintenance",0.0771086749241006,0.171742605789472,-0.0454049395635406,-0.0460507003287037,0.123252964108632
"2.B.3 Equipment Selection",0.0653577345998638,0.189902881294792,-0.0193440042313139,-0.0218539374701905,0.11665452718167
"2.B.3 Installation",0.0348314015883299,0.120244393442996,0.0222001153280294,-0.0258302379699714,0.250069512294727
"2.B.3 Operation and Control",0.0813845130732596,0.172733128296978,-0.0882971260070168,-0.0458917817855,0.00144058374681032
"2.B.3 Operations Analysis",-0.0920639542133438,0.0950796011049393,0.124656699350938,0.0825244626528773,0.0276698245195421
"2.B.3 Operations Monitoring",0.0589004649550744,0.202433494738858,-0.0410384775774358,-0.0538720179895794,-0.0200886025480212
"2.B.3 Programming",-0.0485062274210207,0.0310775468225821,0.232225471789297,-0.0018119663840618,0.0130854166711616
"2.B.3 Quality Control Analysis",0.0397308857412846,0.208509446349221,0.0192819182813726,-0.0196971529018426,0.00454848960705773
"2.B.3 Repairing",0.0733604316530705,0.171127787543822,-0.0412665999024631,-0.0381649522848941,0.145727431643987
"2.B.3 Technology Design",-0.046930872477604,0.116921928167108,0.18177706530812,0.00155334141344759,0.0962113562425564
"2.B.3 Troubleshooting",0.0665566158274519,0.195756754411063,-0.0134764047830385,-0.0511516042327202,0.109764859917833
"2.B.4 Judgment and Decision Making",-0.138934225151708,0.0353363250870568,0.0288668748600477,-0.0173597596138517,-0.0198982202414702
"2.B.4 Systems Analysis",-0.131246536372551,0.0715685571883308,0.0740699965034273,0.030733852760863,0.00942177844730301
"2.B.4 Systems Evaluation",-0.13204856389036,0.0712620520089171,0.0542509480853884,0.0321693995467159,0.00811189970450391
"2.B.5 Management of Financial Resources",-0.100324932517822,0.0471210795693945,-0.0534282277476539,0.220491122187622,-0.0860343081147549
"2.B.5 Management of Material Resources",-0.0928687240281228,0.0825856496056414,-0.0812276279208442,0.190421164425746,-0.0658048012217315
"2.B.5 Management of Personnel Resources",-0.112385735972638,0.0661084975283652,-0.118759146765385,0.122788794015602,-0.0503500975858385
