"","PC1","PC2","PC3","PC4","PC5"
"4.A.3 Repairing and Maintaining Mechanical Equipment",0.0623999712667763,0.171947132823652,-0.106753278405683,-0.0117459076262284,-0.00986590717999454
"4.A.4 Assisting and Caring for Others",-0.0601086342290025,-0.0540578499061566,-0.206503413773062,-0.169524044586585,-0.0580905557648968
"4.A.4 Coaching and Developing Others",-0.115514593398492,0.0212605881997341,-0.175891741869148,0.0625989175760312,0.00885124249003712
"4.A.4 Communicating with Persons Outside Organization",-0.126853640421155,-0.0579105335370954,0.0166829233587833,0.0610899913382985,-0.0319960931857716
"4.A.4 Communicating with Supervisors, Peers, or Subordinates",-0.134620285327971,0.0173160693916478,-0.00740387529344041,0.0360475636262008,-0.117229265170539
"4.A.4 Coordinating the Work and Activities of Others",-0.116954579143735,0.0567404718364189,-0.145869901614785,0.13604106966419,-0.00797076472072413
"4.A.4 Developing and Building Teams",-0.120635684274752,0.0305479067248472,-0.13852941302558,0.118359977436708,-0.0240316957144244
"4.A.4 Establishing and Maintaining Interpersonal Relationships",-0.130448136001114,-0.0838516311539669,-0.0309469950282173,0.0240945612879755,-0.0143995655011925
"4.A.4 Guiding, Directing, and Motivating Subordinates",-0.110565150864953,0.0508596095585272,-0.176777955461332,0.141003106074582,0.00196483747683581
"4.A.4 Interpreting the Meaning of Information for Others",-0.132491102217154,-0.00181100227435495,0.0577842967614094,-0.0592381728233344,-0.119892684098147
"4.A.4 Monitoring and Controlling Resources",-0.108066931794135,0.0482563574549181,-0.111626311852352,0.177060927547146,-0.00289356336328927
"4.A.4 Performing Administrative Activities",-0.126686561074867,-0.0512159693540482,-0.0227342141231718,0.0830358568969091,-0.0618253314040791
"4.A.4 Performing for or Working Directly with the Public",-0.0677301221382367,-0.101966429936448,-0.120674811551783,-0.0455254090801432,0.0215414093755771
"4.A.4 Provide Consultation and Advice to Others",-0.1380243790905,0.0360240899897998,-0.0284882817157474,0.0553939639257121,-0.0662776986964451
"4.A.4 Resolving Conflicts and Negotiating with Others",-0.126015277352339,-0.0373663249505432,-0.125193771249228,0.108419652868341,-0.00100393852010517
"4.A.4 Selling or Influencing Others",-0.0974658228603501,-0.0265841445947808,-0.0333454445967525,0.148257241342488,0.095203761879944
"4.A.4 Staffing Organizational Units",-0.113026222758427,0.0146989448940433,-0.147248764631749,0.167402332584436,-0.00936580815292738
"4.A.4 Training and Teaching Others",-0.104344057419443,0.0419936716677132,-0.16351127662157,-0.0515365132564634,-0.0319035917724007
