"noc_2006","2.C.3.a - Comp and Elec","2.C.3.b - Eng and Tech","2.C.9.a - Telco","2.B.3.b - Tech Design","2.B.3.e - Programming","4.A.3.b.1 - Inter w Comp","Rank - Tech Design","Rank - Programming","Rank - Comp and Elec","Rank - Inter w Comp","Rank - Eng and Tech","Rank - Telco","harm.rank","harm.rank.digital","harm.rank.no.tel","tech","digital","tech.no.tel","noc_code","noc_name"
422,12.7305,1.58105,2.31625,5.9625,1.784575,13.19175,182,183,108,139,355,225,174.16444567776,152.807471860842,166.525556703811,0,NA,NA,"422",""
423,8.922125,0.31185,1.340325,3.8709,1.3708,11.957825,296,245,212,171,458,343,260.569806072842,228.822393601828,248.515339243228,0,NA,NA,"423",""
431,12.768,3.9004,9.3288,1.4256,1.62,13.755,441,211,104,122,228,21,80.5859424535544,58.9749411455434,172.413034351221,0,NA,NA,"431",""
432,11.507,9.5708,11.9314,9.184,1.863,8.6032,66,174,146,254,84,13,52.3755699751729,45.5232717005192,115.932204798121,0,NA,NA,"432",""
512,18.8276,12.9584,17.3313,4.9704,2.415,17.649,241,122,22,41,56,3,17.286385655549,12.2918881173139,51.4965107277476,1,"Digital",NA,"512",""
513,7.4045,2.5025,1.1736,3.7128,0.6885,12.111,301,382,274.5,163,299,373,277.050782398897,266.451943883812,263.395190099415,0,NA,NA,"513",""
601,9.3984,2.5308,4.9815,1.96,2.1875,13.68,414.5,137.5,202,124,297,58,139.997457818586,107.829856011218,192.984857261521,0,NA,NA,"601",""
621,14.4584,6.925,4.3548,1.215,0.69,13.4688,455,377,68,133,146,77,129.262542199653,106.890550617031,148.824377986499,0,NA,NA,"621",""
631,4.8832,2.646,4.0898,0.93,0.5244,10.7152,466,409,340,208,292.5,88,222.711342439988,186.983868183642,318.375067574342,0,NA,NA,"631",""
632,11.1671,0.4636,2.0995,5.9262,0.4953,12.064,185,416,158,164,443,256,228.417908299979,214.603254039212,223.447787557463,0,NA,NA,"632",""
711,10.4841,18.9514,2.4336,2.35,1.62,16.7534,389,211,169.5,53.5,25.5,208.5,81.0767764136934,118.680355220287,72.2223369603438,0,NA,NA,"711",""
712,10.4841,18.9514,2.4336,2.35,1.62,16.7534,389,211,169.5,53.5,25.5,208.5,81.0767764136934,118.680355220287,72.2223369603438,0,NA,NA,"712",""
714,8.6858,1.8204,0.5016,4.9922,0,3.944,236.5,477,223.5,375.5,342.5,452.5,323.812493654232,350.646278409221,306.294283370532,0,NA,NA,"714",""
731,8.2365,2.3406,4.482,5.035,1.59,9.9756,234,215,250,225,309,72,175.345141257038,149.604843456972,243.669494122899,0,NA,NA,"731",""
821,7.90693333333333,5.91111111111111,2.4435,7.84177777777778,1.7856,9.27582222222222,116,182,257,247,170,205,183.924740838406,219.453729747169,180.065524223549,0,NA,NA,"821",""
822,4.8412,7.4513,0.621,9.295,1.947,8.5624,63,162,341,255,132,435,156.23953965104,262.144260232466,138.469660737187,0,NA,NA,"822",""
823,12.52,19.7739,3.9831,17.9894,4.12,13.5415,6,49,114,127,22,91,25.6724995639861,84.4278749641526,22.4372653711817,0,NA,1,"823",""
911,6.468,9.1956,2.2806,3.0456,2.625,10.8371,359.5,109.5,298.5,203.5,89.5,234.5,169.738073180992,185.831017049999,160.759834158192,0,NA,NA,"911",""
912,6.468,9.1956,2.2806,3.0456,2.625,10.8371,359.5,109.5,298.5,203.5,89.5,234.5,169.738073180992,185.831017049999,160.759834158192,0,NA,NA,"912",""
1111,15.399,3.5574,2.8128,1.15515,4.71945,17.1577,457,38,53,47,240,167,77.6417185645866,56.3814987450699,70.100997535733,0,NA,NA,"1111",""
1112,14.2898,0.837,1.638,6.5208,6.517,21.8556,156,24,70,12,417,311,41.9655301875706,29.8034361672071,35.7732207630604,0,NA,NA,"1112",""
1113,8.0647,0.1904,0.4125,2.2742,0.1404,19.552,394,466.5,253,22,474,459,106.448795886069,77.3272318339713,92.2658775750712,0,NA,NA,"1113",""
1114,12.0077125,1.04171875,2.29368125,3.2054,1.5048,17.5116375,340,231,132,43,398,229,135.3086666164,102.816555079441,125.014903241802,0,NA,NA,"1114",""
1121,9.1182,0.88125,2.594825,3.185,1.11,12.67775,341,288,206,151,411,189,235.43822593005,198.676508984921,247.264831485408,0,NA,NA,"1121",""
1122,18.414025,7.789525,7.1743,10.5924,4.441075,15.555575,41,46,27,85,126,35,46.8456827380015,41.4952540025258,49.8492916369367,0,NA,NA,"1122",""
1123,13.6618,1.408875,4.278,2.36145,0.20535,15.801075,387,460,83,78,377,79,134.96791662584,101.95709927474,156.46999004377,0,NA,NA,"1123",""
1213,11.9948,0.7869,1.9176,4.312,5.64,14.652,268.5,29.5,133.5,103.5,421.5,271.5,100.775346554899,74.8209923028818,89.4956350575706,0,NA,NA,"1213",""
1214,13.2664,2.2862,2.5048,3.636,3.0155,16.268,306.5,77.5,90.5,63.5,315.5,199.5,118.645512984111,90.5813051781654,109.689338856241,0,NA,NA,"1214",""
1215,7.44,3.66,1.6104,0.8556,0.69,12.3375,469,377,273,154,235,315,269.345091026047,251.393544378526,261.619868770807,0,NA,NA,"1215",""
1221,14.7741,1.4157,4.3719,2.236,0.8662,17.437,397.5,333.5,59.5,44.5,372.5,75.5,100.409728415985,73.3025247599032,107.10474924336,0,NA,NA,"1221",""
1222,12.3246,0.3658,2.6862,1.35,0.4356,15.6723,449,429.5,124,81,450,178,184.365149348789,142.325483463744,185.477006151886,0,NA,NA,"1222",""
1223,9.9351,1.01590625,1.89693125,3.35238125,0.7284375,15.48519375,331,364,183,88,400,276,210.331587305381,173.757628645288,200.672030796081,0,NA,NA,"1223",""
1224,8.6858,1.8204,0.5016,4.9922,0,3.944,236.5,477,223.5,375.5,342.5,452.5,323.812493654232,350.646278409221,306.294283370532,0,NA,NA,"1224",""
1225,13.0203,2.132,3.696,5.7112,1.0001,17.533,193,308,97,42,325,103,110.023810998426,86.371586773175,111.313292217524,0,NA,NA,"1225",""
1226,9.1975,1.9323,1.9511,1.75,0.69,14.9778,426,377,205,96,334,268,223.433587704166,185.81642727148,216.11206254144,0,NA,NA,"1226",""
1227,14.6365,2.2195,3.912,0.6552,0,15.5406,473,477,64,86,319,95,134.461947833697,101.554842379561,146.174796585516,0,NA,NA,"1227",""
1228,15.3282,0.5109,1.953,1.5792,0.3774,13.9518,435,444,54,116,437,267,160.926749133586,122.296629101575,149.019300653849,0,NA,NA,"1228",""
1241,14.7741,1.4157,4.3719,2.236,0.8662,17.437,397.5,333.5,59.5,44.5,372.5,75.5,100.409728415985,73.3025247599032,107.10474924336,0,NA,NA,"1241",""
1242,11.2893,0.738875,1.16265,3.055,1.099,16.8402,351,291,153,52,423,377,163.795733049547,127.260499614852,147.121617575797,0,NA,NA,"1242",""
1243,10.962,0.695,1.6785,0,0.6072,12.12195,479.5,392,161,162,424,303,265.769918720417,220.485144980599,259.249440315837,0,NA,NA,"1243",""
1251,16.7535,0.86875,2.1535,3.972775,0.548,19.481175,287,402,39,23,413,242,75.8045097161465,54.5976082290302,66.6349152146368,0,NA,NA,"1251",""
1252,9.238,0.3375,3.1682,0.75,0.69,11.4774,470,377,204,192,452,138,247.629045269766,201.013680021484,293.503941616045,0,NA,NA,"1252",""
1253,12.834075,1.834325,2.1112,5.0544,0.7506,11.993125,233,359,102,168,340,247.5,202.470983776134,178.349922153093,195.238286584413,0,NA,NA,"1253",""
1254,18.082025,3.067925,3.0888,5.42165,7.68495,17.09775,213,18,30,48,266,147,49.8037818013026,35.6968951158821,43.9691777805509,0,NA,NA,"1254",""
1311,11.052,0.2052,2.562,3.0876,1.672,16.3782,350,199,159,62,473,194,161.247286496631,124.026312053381,155.851976633806,0,NA,NA,"1311",""
1312,13.63705,1.0335,3.1624,1.938,0.74955,15.0891,418,362,84,91,399,141,160.780404922918,123.33746661565,165.148801203389,0,NA,NA,"1312",""
1313,8.8578,0.3782,1.3552,0.696,0.5945,14.2464,472,396,218,113,448,341,259.489256533523,212.981111803511,247.544752682607,0,NA,NA,"1313",""
1314,14.2508333333333,2.4276,3.85677777777778,6.53654444444444,1.95297777777778,12.798,155,159,73,148,305,96,129.136590636288,108.742336736545,138.300523212062,0,NA,NA,"1314",""
1411,8.5593,0.530111111111111,1.77144444444444,2.02035555555556,1.20113333333333,15.7951555555556,410,276,241,79,433,292,211.323066916935,169.095233608657,200.16351599438,0,NA,NA,"1411",""
1414,5.77198125,0.3361875,3.16558125,2.268825,0.84695625,9.84650625,395,343,316,228,453,140,269.68161867951,228.303182959777,329.896715654685,0,NA,NA,"1414",""
1415,13.344,0.5148,3.6395,1.3884,0.9024,13.4865,446,326,89,131,436,108,169.277534835798,129.369099355612,190.327998216996,0,NA,NA,"1415",""
1416,9.96862222222222,0.160355555555556,1.416,3.51765555555556,1.15866666666667,14.7093333333333,324,282,182,101,476,336,222.694916649506,183.744742115292,208.547698790291,0,NA,NA,"1416",""
1422,14.0476,0.2432,1.3736,4.1748,1.8974,16.8734,279,171,77,51,466,338,128.95503967144,98.0029736893141,114.736815558092,0,NA,NA,"1422",""
1423,17.3502,1.6275,2.023,6.3225,3.3196,18.4989,161,62,35,30,351,260,67.6025683492916,50.162856352062,58.8771375553124,0,NA,NA,"1423",""
1431,9.581,0.372404,1.706832,2.680392,1.1016,14.951772,375,290,192,97,449,300,222.00916967315,180.634907926494,210.937963756485,0,NA,NA,"1431",""
1432,10.0104,0.4403,1.424,2.72,1.6536,13.3036,371.5,204,180,137,445,335,234.813494282863,193.934899852104,221.47409557001,0,NA,NA,"1432",""
1434,9.48569795918367,0.456685714285714,1.45918367346939,2.3258387755102,0.393775510204082,16.0041469387755,391,438,197,69,444,332,203.975218041949,162.488500549621,189.305488672891,0,NA,NA,"1434",""
1435,12.7506,0.3081,2.31715,3.2805,1.8532,14.9385,334,176,105,98,459,223.5,172.423600765764,134.957170107247,164.778972219901,0,NA,NA,"1435",""
1451,9.8808,0.2856,1.926,3.948,0.6624,12.214,290,387,185,159,462,270,255.428342871478,223.542356901164,252.526311040151,0,NA,NA,"1451",""
1452,11.8218,0.13125,2.22525,1.0188,0.261,13.61505,461,453,137,125,478,240,232.67456384426,185.744952423185,231.078028266396,0,NA,NA,"1452",""
1454,11.70875,2.762225,2.415175,4.7174,4.23215,14.256,255,47,140,112,285,214,122.877783624909,96.5571294746258,113.17890752439,0,NA,NA,"1454",""
1511,6.30315,0.66825,1.356,1.71495,0.5522,5.306275,428,400,302,337,426,339,366.59635868479,342.060085062035,372.422883742698,0,NA,NA,"1511",""
1512,0.6528,0.222,0.5547,1.8511,0.0954,0.923,423,468,472,467.5,468.5,443,457.264757619306,463.333788867595,460.013391012738,0,NA,NA,"1512",""
1513,0.8024,0.2091,1.48,3.6888,0.4712,2.4034,304,420.5,462,415,471,329,390.528684053909,401.346290494316,405.400413473586,0,NA,NA,"1513",""
1521,9.8658,3.82905,4.0698,3.13575,0.537425,8.977125,348,405,186,250,230,89,199.334511976938,174.628087594761,263.309708624049,0,NA,NA,"1521",""
1522,11.8664,4.2903,2.1275,5.472,2.07,9.9193,210,154,136,226,215,245,189.932464522586,180.008199614581,181.652148832182,0,NA,NA,"1522",""
1523,16.4211,2.2962,1.6287,4.2021,2.1463,13.7808,277,148,43,121,314,313,126.072026457437,97.9909003829549,112.594534313771,0,NA,NA,"1523",""
1524,8.967,0.2622,2.914,1.9323,0.3744,14.421,420,445,209,109,464,157,222.635212274621,178.379668490851,242.473608690719,0,NA,NA,"1524",""
1525,12.4037666666667,1.43773333333333,11.184,5.31458888888889,3.38933333333333,16.4021,216,61,119,60,371,18,59.5333454099411,42.7865204220617,103.837253389465,0,NA,NA,"1525",""
1526,7.83,1.6171,4.7082,6.2594,4.5938,13.2587,164,41,260,138,352,66,102.294767570078,80.3849487727487,114.34150434457,0,NA,NA,"1526",""
2111,19.03275,13.6166,4.735125,13.31951875,11.0709375,19.3572,21,8,21,25,51,65,21.8289752650177,19.0314232902033,19.2520568436799,1,"High-Tech",1,"2111",""
2112,12.71355,12.665025,1.6683,15.0775,2.588625,15.30655,11,113,109,89,57,306,45.1786845230501,124.103049026192,38.5955354300067,0,NA,NA,"2112",""
2113,17.066325,22.254925,3.4241,5.7164,5.23235,18.81115,192,33,38,28,14,122,35.3953808991298,40.9560660081439,30.9820895866323,0,NA,NA,"2113",""
2114,19.4068,2.755,4.6905,13.5379,10.787,14.6288,19,10,19,105,287,67,27.4572954940506,24.2352365814892,24.5320179770553,0,NA,1,"2114",""
2121,13.3799975308642,7.8762962962963,2.66121481481481,4.43803950617284,2.5581975308642,14.2886888888889,263,115,88,111,122,180,129.791361383398,116.583821169325,122.840536372807,0,NA,NA,"2121",""
2122,9.7461,4.8517,3.0885,5.4876,8.9178,12.5118,207,13,188,152,204,148,60.2091213813241,44.4607794197885,53.7974168095939,0,NA,NA,"2122",""
2123,8.9394,6.33255,2.7761,7.3931,1.418175,10.6575,118,240,211,210,162,171,176.688958241476,205.976949450174,177.657596674134,0,NA,NA,"2123",""
2131,13.083625,30.866225,3.466125,5.058275,5.3314,18.4275,232,32,95,31,2,119,14.3565326985016,49.811320754717,12.2071839650724,1,"High-Tech",1,"2131",""
2132,10.7016,21.1098,0.5842,8.316,1.341,13.8276,105,249,166,117,17,439,69.9913773877643,192.907490888186,59.9145967442593,0,NA,NA,"2132",""
2133,23.7375,29.18175,10.39955,20.0743,7.65,19.6909,3,19,11,21,4,19,8.83928571428571,17.4834437086093,7.95180722891566,1,"High-Tech",1,"2133",""
2134,15.8984,29.0753,1.6932,21.735,10.1728,18.7052,2,11,47,29,5,301,9.36313137837489,28.4068195179306,7.84313725490196,1,"High-Tech",1,"2134",""
2141,12.738,24.2558222222222,3.84926666666667,11.7445333333333,4.4472,15.9444,30,45,107,72,10,98,33.71445930818,72.9953249224632,29.7859861543858,0,NA,NA,"2141",""
2142,9.488875,22.4902,0.6996,14.4265,6.16735,15.83925,17,25,196,77,13,431,32.3176375263855,68.1744488777287,27.271390419526,0,NA,NA,"2142",""
2143,18.6438,24.7637,2.7456,12.5328,8.7435,16.641,23.5,15.5,23.5,57.5,8.5,174.5,22.1980596873598,32.2023829787234,18.8967410846649,1,"High-Tech",1,"2143",""
2144,18.6438,24.7637,2.7456,12.5328,8.7435,16.641,23.5,15.5,23.5,57.5,8.5,174.5,22.1980596873598,32.2023829787234,18.8967410846649,1,"High-Tech",1,"2144",""
2145,14.952,27.258,3.2648,15.0024,7.0956,11.0084,13,21,57,200,6,134,20.7351172146259,53.2776003102092,17.7332153313078,1,"High-Tech",1,"2145",""
2146,19.855,32.6346,6.5436,18.3436,3.587,19.9728,4,55,18,20,1,46,7.14809597245406,28.6976232604849,6.11166424140308,1,"High-Tech",1,"2146",""
2147,29.986,21.6815,13.51,16.4977,14.555,26.341,9,5,2,8,15,7,6.67697063369397,5.43396226415094,6.46319569120287,1,"Digital",1,"2147",""
2148,17.1389,25.3632222222222,5.11887222222222,17.5781416666667,5.82955555555556,17.7670527777778,7,27,37,39,7,56,16.9217176179537,38.2504493708808,14.8354712771891,1,"High-Tech",1,"2148",""
2151,14.7649,21.0756,4.8314,9.2839,0.4563,21.0192,65,424,61,13,18,63,34.6183193910024,37.9019220982705,31.7070493959822,0,NA,NA,"2151",""
2152,11.7174,15.2048,1.6289,8.7087,0.987,11.49,93,312,139,191,42,312,113.992420126792,213.436160227302,101.132296444697,0,NA,NA,"2152",""
2153,12.1476,8.41595,2.84,1.4945,0.7102,14.703,437,368,130,102,117,164,162.731104826917,153.180649842031,162.284793089093,0,NA,NA,"2153",""
2154,18.1062,16.46685,3.668175,6.3222,2.48115,20.3001,162,117,29,18,36,106,43.8124804729094,38.5411099388961,39.1844969810424,0,NA,NA,"2154",""
2161,19.26504,5.379264,2.45344,4.813632,11.321556,22.544112,251,6,20,11,192,203,20.8433869592071,14.3517587939698,17.6703967446592,1,"Digital",1,"2161",""
2171,27.22235,14.972125,11.755125,15.6078125,14.7767,27.2613,10,4,5,3,44,15,7.57290836653386,5.88957055214724,6.85121107266436,1,"Digital",1,"2171",""
2172,26.015,9.312,7.7088,6.48,11.2944,26.65,157,7,7,6,86,31,13.5767951497336,9.43157894736842,12.174914276315,1,"Digital",1,"2172",""
2173,31.2857111111111,20.0732,14.4633888888889,23.8597333333333,24.1369666666667,30.2673,1,2,1,1,20,6,2.96470588235294,2.70967741935484,2.65822784810127,1,"Digital",1,"2173",""
2174,27.9822,8.4425,6.9432,18.2052,24.9557,26.8961,5,1,4,5,116,37,5.61694601195991,4.47937131630648,4.79901558654635,1,"Digital",1,"2174",""
2175,26.031825,8.592975,9.1875,17.46315,17.3926,26.958775,8,3,6,4,114,22,7.93501574407886,6.28599316739873,7.01592988912022,1,"Digital",1,"2175",""
2211,12.4362222222222,10.9318444444444,3.5989,7.14494444444444,1.32313333333333,9.64653333333333,123,253,117,233,78,111,129.48782177263,156.166671371842,133.661847794101,0,NA,NA,"2211",""
2212,17.8125,14.364,3.4887,10.93865,2.926825,15.98295,35,80,32,70,46,117,52.5108196536065,61.3423616832011,47.2645232363038,0,NA,NA,"2212",""
2221,4.806,1.9581,1.24575,9.93465,2.3852,12.462975,50,127,347,153,332,370,141.223544077548,201.257988195815,125.658400218232,0,NA,NA,"2221",""
2222,3.80895,1.4841,1.04535,1.373825,0.71925,5.5965,447,365,377,328,361,390,375.719142550729,364.471283933436,372.805187092768,0,NA,NA,"2222",""
2223,12.6755555555556,8.72685555555556,5.19622222222222,7.3865,1.7766,9.53911111111111,119,184,111,236,111,54,111.117059864974,108.887375921408,139.605176374264,0,NA,NA,"2223",""
2224,11.6888333333333,8.7584,3.72526666666667,5.23786666666667,1.09768888888889,10.2451222222222,226,292,141,219,109,101,156.65471438268,161.260418406486,175.457848930736,0,NA,NA,"2224",""
2225,0.3894,2.3074,1.0508,2.492,0.2486,1.5824,383,455,476,449,312,387,403.008724224074,440.09434050816,406.150892647324,0,NA,NA,"2225",""
2231,12.3008,18.9180444444444,4.10337777777778,5.90266666666667,2.7904,16.1919333333333,187,88,126,67,27,87,69.5951338813447,88.5357502359438,66.8009028068769,0,NA,NA,"2231",""
2232,13.448,21.074,2.041,12.0663,3.1044,13.0284,28,72,87,146,19,258,49.9131718487096,111.963302840489,42.9746184424249,0,NA,NA,"2232",""
2233,14.1075,18.5235,1.67375,10.66425,7.6452,15.07165,39,20,75,94,28,305,44.7580856947916,53.6399881379947,38.2303867312045,0,NA,NA,"2233",""
2234,14.4752,17.8776,4.1202,1.96,3.29,20.5356,414.5,64,67,16,29,85,44.0263550681017,39.7843947877963,40.1109953544447,0,NA,NA,"2234",""
2241,19.88175,17.33734375,6.69375,7.8694,4.16734375,11.0782,114,48,17,198,31,39,41.1143364923756,37.7398208348676,41.3446960100264,0,NA,NA,"2241",""
2242,15.4767111111111,7.86788888888889,6.86591111111111,9.52176666666667,3.7758,10.3332,58,54,50,215,123,38,64.4648446412397,58.7713986714496,74.1477169053255,0,NA,NA,"2242",""
2243,8.181,15.7085,3.6462,12.7922,2.2225,5.694,22,133,251,324,38,107,64.5950256868294,168.299714761841,59.7891951674784,0,NA,NA,"2243",""
2244,15.281,19.9400444444444,5.94373333333333,11.4522222222222,2.98246666666667,12.9765,33,79,55,147,21,49,45.4613612924194,70.0354909582559,44.6507468603287,0,NA,NA,"2244",""
2251,15.72525,15.426,3.6372,5.2216,2.619,20.8408,227,111,48,15,40,109,46.2592273070448,39.6323529411765,41.4549206291744,0,NA,NA,"2251",""
2252,14.2618,19.7706,1.6432,14.875,2.632,18.1482,14,107.5,72,35,23,310,36.9818461531522,74.1998953035648,31.4413340552151,0,NA,NA,"2252",""
2253,13.147692,17.061648,4.113768,10.114848,2.87238,19.391048,46,85,93,24,33,86,48.2125912328797,54.2295983986528,44.2655857843011,0,NA,NA,"2253",""
2254,14.245,13.6528,3.3948,1.4256,0.69,15.609,441,377,74,82,50,126,103.85774203994,111.4173711639,100.205791981472,0,NA,NA,"2254",""
2255,18.3736,9.84,2.4206,10.797,5.1975,18.3608,36,34,28,32,83,213,43.8078023251401,40.8037878216468,37.7960356272044,0,NA,NA,"2255",""
2261,5.904,3.5322,1.0281,3.0544,2.175,7.6,355,144,311,275,244,397,259.425214588031,246.344385590416,242.536076518572,0,NA,NA,"2261",""
2262,11.3582,9.92455555555556,4.88366666666667,5.61813333333333,2.51613333333333,10.6274444444444,198,116,151,211,82,62,113.659458636166,111.994771885304,135.441689290913,0,NA,NA,"2262",""
2263,10.9022222222222,14.0303666666667,2.88066666666667,9.48802222222222,1.67468888888889,12.7470555555556,60,198,163,149,47,163,98.1776747589218,167.455702264487,90.8824388461943,0,NA,NA,"2263",""
2264,9.5392,18.993,3.1234,1.125,0.8556,13.067,458.5,338,194,145,24,145,93.8189476381124,183.682662936424,87.5600752140633,0,NA,NA,"2264",""
2271,9.5477,8.845725,7.19625,5.5055,1.8073,8.4816,205,180,193,256,108,34,104.948935135141,92.7171163827194,174.829866525163,0,NA,NA,"2271",""
2272,12.8511,3.1652,8.2925,6.66475,1.5631,10.085525,149,220,101,222,262,25,88.5692524602078,69.8389230042513,170.753005712007,0,NA,NA,"2272",""
2273,10.0124444444444,6.44833333333333,8.59306666666667,6.64572222222222,1.444,6.25053333333333,150,235,179,304,159,24,90.9862241055611,75.3699739389427,192.722425244219,0,NA,NA,"2273",""
2274,11.2271,16.6208,7.395,8.47,1.7748,11.1134,98,185,157,196,35,33,71.3672697248886,86.5925228259029,91.4739207137298,0,NA,NA,"2274",""
2275,2.9232,2.8497,2.5338,2.8424,0.2352,2.3184,364.5,457.5,406.5,418.5,275.5,196.5,325.473000919951,331.068434099145,373.931928551925,0,NA,NA,"2275",""
2281,23.9554,7.16173333333333,12.2696,9.83901111111111,9.16113333333333,24.2950666666667,54,12,10,9,139,10,15.6223175965665,11.1500974658869,17.0557164764014,1,"Digital",1,"2281",""
2282,28.6442,11.1972,13.0032,2.1056,3.24,26.631,406,65,3,7,75,8,11.6081658182324,7.97984886649874,12.3223604711381,1,"Digital",1,"2282",""
2283,24.2525,15.1857,3.7245,11.248,10.95,22.7986,34,9,9,10,43,102,17.0494975009405,13.3059307105109,14.6110056925996,1,"Digital",1,"2283",""
3011,11.3928,3.0687,4.182,0.93,0.8556,15.88,466,338,148.5,73.5,264.5,83.5,147.045272289331,114.626469183186,172.59567039825,0,NA,NA,"3011",""
3012,6.7536,1.0804,2.3826,1.62,1.5,10.281,430.5,233,293,217,396,216,276.412294609597,237.102853811942,292.424858522703,0,NA,NA,"3012",""
3111,8.350464,2.45376,3.086556,6.999396,1.153632,7.323264,130,283,247,284,303,149,209.410306603135,225.621289404529,227.425534226869,0,NA,NA,"3111",""
3112,9.2485,2.174775,2.619,7.074,1.44,5.351125,125,236,203,334,321,187,210.765244975374,229.547416571341,215.996318490497,0,NA,NA,"3112",""
3113,7.7976,8.1428625,1.95339375,12.344125,1.6274,9.6525,27,208,264,232,119,266,98.9396035950165,241.030098820028,87.876954988147,0,NA,NA,"3113",""
3114,9.4112,3.591,1.2782,9.94,1.5347,5.98,49,225,200,311,239,364,151.854815310486,260.675350095657,135.97413963611,0,NA,NA,"3114",""
3121,10.7257,4.9396,2.6884,1.96,2.1875,9.5904,414.5,137.5,165,235,203,177,197.314689738611,173.163331661416,201.691784388373,0,NA,NA,"3121",""
3122,9.695,4.06,2.286,1.125,0.69,11.988,458.5,377,189,169,220,233,242.270724066724,221.428551499003,243.995527211236,0,NA,NA,"3122",""
3124,4.5686,1.5369,1.164375,1.365,0.69,7.3359,448,377,357,283,359,376,361.067431026561,344.45802463521,358.041162844939,0,NA,NA,"3124",""
3125,10.2524,5.6394,3.3123,8.2302,0.8064,8.9748,107,349,175,251,181,131,172.231972874011,199.173702173523,183.412336747955,0,NA,NA,"3125",""
3131,12.2924,0.8024,2.3408,1.4006,0.8967,16.2288,444,327.5,127,66,420,220,171.775125457375,131.983145566779,164.449335495056,0,NA,NA,"3131",""
3132,12.1794,3.5956,5.6134,1.8352,0.2331,13.1516,424,459,129,141,238,52,141.798916516901,111.805551587632,213.26039621421,0,NA,NA,"3132",""
