"noc_2006","2.C.3.a - Comp and Elec","2.C.3.b - Eng and Tech","2.C.9.a - Telco","2.B.3.b - Tech Design","2.B.3.e - Programming","4.A.3.b.1 - Inter w Comp","Rank - Tech Design","Rank - Programming","Rank - Comp and Elec","Rank - Inter w Comp","Rank - Eng and Tech","Rank - Telco","harm.rank","harm.rank.digital","harm.rank.no.tel","tech","digital","tech.no.tel","noc_code","noc_name"
12,12.3872,3.916175,2.902725,4.9648,1.6974,12.2496,243.5,193.5,121.5,156.5,225.5,159.5,174.472467888924,154.533295504867,177.56406692105,0,NA,NA,"12",""
13,12.3872,3.916175,2.902725,4.9648,1.6974,12.2496,243.5,193.5,121.5,156.5,225.5,159.5,174.472467888924,154.533295504867,177.56406692105,0,NA,NA,"13",""
14,12.3872,3.916175,2.902725,4.9648,1.6974,12.2496,243.5,193.5,121.5,156.5,225.5,159.5,174.472467888924,154.533295504867,177.56406692105,0,NA,NA,"14",""
15,11.0457875,2.6611,2.91403125,4.6238125,1.3474125,11.7962,260,247,160,172,290,156,202.285451355367,178.625560400458,214.669401331797,0,NA,NA,"15",""
16,12.3872,3.916175,2.902725,4.9648,1.6974,12.2496,243.5,193.5,121.5,156.5,225.5,159.5,174.472467888924,154.533295504867,177.56406692105,0,NA,NA,"16",""
111,12.8097,1.060775,3.405325,3.2172,1.247,17.8321,339,270,103,38,397,124.5,114.57309868427,85.2613506594205,112.612139739431,0,NA,NA,"111",""
112,7.8285,0.9284,2.1514,1.41771111111111,1.86666666666667,13.8269111111111,443,173,261,118,406,243,224.090497571718,181.277297082252,220.49222665209,0,NA,NA,"112",""
113,13.91,8.6458,6.475,2.4206,0.6858,15.2622,385,384,79,90,112,47,102.810182660662,85.2519517388219,133.238663945252,0,NA,NA,"113",""
114,10.856875,1.8975,2.550625,4.018425,3.8634,14.7498,284,52,164,100,337,195,129.313373336406,100.171389480345,121.074543842823,0,NA,NA,"114",""
121,13.9299,1.139075,3.56955,3.1659,0.8547,13.42895,343,340,78,135,394,113,161.488830196094,126.120699992375,176.165866935091,0,NA,NA,"121",""
122,17.2656,1.0998,3.531,0.9768,0.369,14.4768,463,446,36,107,395,116,115.940110680394,84.9790386373056,115.730432988295,0,NA,NA,"122",""
124,11.8788444444444,2.47922222222222,2.25706666666667,2.92444444444444,0.650633333333333,14.4974,362,388,135,106,301,237,203.133747412684,170.422274191034,197.351473200019,0,NA,NA,"124",""
125,9.78025,1.911075,2.7531,2.81725,3.179625,10.966375,367,68,187,201,336,173,165.772075815598,131.106601139225,164.218993712261,0,NA,NA,"125",""
132,13.2664,2.2862,2.5048,3.636,3.0155,16.268,306.5,77.5,90.5,63.5,315.5,199.5,118.645512984111,90.5813051781654,109.689338856241,0,NA,NA,"132",""
211,21.4245,30.576,8.0215,2.625,0.93,18.348,376,321,14,34,3,28,15.5650516973028,30.1144853533996,14.2451682554087,1,"High-Tech",1,"211",""
212,16.5165,21.1494,4.928,5.2682,2.032925,15.60775,223,156,42,83,16,61,49.6085677328492,69.3733429490057,47.7018135656896,0,NA,NA,"212",""
213,25.7188,6.5949,12.9054,5.625,6.875,28.68,197,23,8,2,154,9,10.039938388561,6.82464454976303,10.047964378673,1,"Digital",1,"213",""
311,11.3928,3.0687,4.182,0.93,0.8556,15.88,466,338,148.5,73.5,264.5,83.5,147.045272289331,114.626469183186,172.59567039825,0,NA,NA,"311",""
414,18.4599,12.376,11.352,7.1514,3.2398,13.3104,122,66,25,136,67,17,43.1413516481405,34.4110480066006,59.8643626871285,0,NA,NA,"414",""
421,12.6882,1.8354,3.0704,6.266,1.4155,14.3208,163,241,110,110,339,150,158.681868120562,139.020350107534,160.312998334091,0,NA,NA,"421",""
