"Seniority","Group","NormalizedProfessionals"
"Entry","Without MC",0.799121972520703
"Mid","Without MC",0.160688386020181
"Entry","With MC",0.85946813388354
"Mid","With MC",0.117606602475928
"Senior","Without MC",0.0401896414591164
"Senior","With MC",0.0185694635488308
