"Seniority","Group","NormalizedProfessionals"
"Entry","Without MC",0.820014121573914
"Entry","With MC",0.821428571428571
"Senior","Without MC",0.0274086911868541
"Senior","With MC",0.0158730158730159
"Mid","Without MC",0.152577187239232
"Mid","With MC",0.162698412698413
