"ICT","Group","NormalizedProfessionals","nudged_y","cumsum"
"Non-ICT","Without MC",57,28.5,57
"ICT","Without MC",43,78.5,100
"Non-ICT","With MC",54,27,54
"ICT","With MC",46,77,100
