"Seniority","Group","NormalizedProfessionals","nudged_y"
"Mid","Without MC",77,79.5
"Senior","Without MC",19,21.5
"Mid","With MC",84,86.5
"Entry","With MC",4,6.5
"Entry","Without MC",4,6.5
"Senior","With MC",12,14.5
