"Group","Industry","Professionals","NormalizedProfessionals"
"With MC","Market Research",23,0.00557846228474412
"Without MC","Marketing & Advertising",3533,0.0295975470812948
"With MC","Marketing & Advertising",158,0.0383216104778074
"Without MC","Mechanical Or Industrial Engineering",487,0.0040798203873735
"With MC","Mechanical Or Industrial Engineering",9,0.00218287654620422
"Without MC","Media Production",222,0.00185979491991153
"With MC","Media Production",7,0.00169779286926995
"Without MC","Medical Device",884,0.00740566986126935
"With MC","Medical Device",18,0.00436575309240844
"Without MC","Medical Practice",130,0.00108906909724549
"With MC","Medical Practice",4,0.000970167353868542
"Without MC","Mental Health Care",141,0.00118122109778165
"With MC","Mental Health Care",22,0.00533592044627698
"Without MC","Military",406,0.00340124656524362
"With MC","Military",11,0.00266796022313849
"Without MC","Mining & Metals",333,0.0027896923798673
"With MC","Mining & Metals",11,0.00266796022313849
"Without MC","Mobile Games",2395,0.0200640037530997
"With MC","Mobile Games",28,0.0067911714770798
"Without MC","Motion Pictures & Film",98,0.000820990550231218
"With MC","Motion Pictures & Film",5,0.00121270919233568
"Without MC","Music",227,0.00190168219288251
"With MC","Music",20,0.00485083676934271
"Without MC","Non-profit Organization Management",659,0.00552074257757523
"With MC","Non-profit Organization Management",36,0.00873150618481688
"Without MC","Oil & Energy",791,0.00662656658400911
"With MC","Oil & Energy",28,0.0067911714770798
"Without MC","Online Media",290,0.00242946183231687
"With MC","Online Media",19,0.00460829493087558
"Without MC","Outsourcing/Offshoring",272,0.00227866764962134
"With MC","Outsourcing/Offshoring",6,0.00145525103080281
"Without MC","Package/Freight Delivery",175,0.00146605455398432
"With MC","Performing Arts",4,0.000970167353868542
"Without MC","Pharmaceuticals",197,0.00165035855505663
"With MC","Pharmaceuticals",4,0.000970167353868542
"With MC","Philanthropy",13,0.00315304390007276
"Without MC","Photography",196,0.00164198110046244
"With MC","Photography",19,0.00460829493087558
"Without MC","Primary/Secondary Education",126,0.00105555927886871
"With MC","Primary/Secondary Education",4,0.000970167353868542
"Without MC","Printing",121,0.00101367200589773
"With MC","Printing",4,0.000970167353868542
"Without MC","Professional Training & Coaching",330,0.00276456001608471
"With MC","Professional Training & Coaching",92,0.0223138491389765
"Without MC","Program Development",294,0.00246297165069365
"With MC","Program Development",16,0.00388066941547417
"Without MC","Public Policy",110,0.000921520005361571
"With MC","Public Policy",5,0.00121270919233568
"Without MC","Public Relations & Communications",92,0.000770725822666041
"With MC","Public Relations & Communications",5,0.00121270919233568
"Without MC","Public Safety",100,0.00083774545941961
"With MC","Public Safety",5,0.00121270919233568
"Without MC","Publishing",259,0.00216976073989679
"With MC","Publishing",14,0.0033955857385399
"Without MC","Real Estate",592,0.00495945311976409
"With MC","Real Estate",47,0.0113994664079554
"Without MC","Renewables & Environment",342,0.00286508947121507
"With MC","Renewables & Environment",8,0.00194033470773708
"Without MC","Research",721,0.00604014476241539
"With MC","Research",22,0.00533592044627698
"Without MC","Restaurants",327,0.00273942765230212
"With MC","Restaurants",18,0.00436575309240844
"Without MC","Retail",1340,0.0112257891562228
"With MC","Retail",66,0.0160077613388309
"Without MC","Security & Investigations",484,0.00405468802359091
"With MC","Security & Investigations",5,0.00121270919233568
"Without MC","Semiconductors",1241,0.0103964211513974
"With MC","Semiconductors",8,0.00194033470773708
"Without MC","Sports",308,0.0025802560150124
"With MC","Sports",9,0.00218287654620422
"Without MC","Staffing & Recruiting",447,0.00374472220360566
"With MC","Staffing & Recruiting",18,0.00436575309240844
"Without MC","Telecommunications",4864,0.0407479391461698
"With MC","Telecommunications",86,0.0208585981081737
"Without MC","Transportation/Trucking/Railroad",642,0.0053783258494739
"With MC","Transportation/Trucking/Railroad",17,0.0041232112539413
"Without MC","Utilities",439,0.00367770256685209
"With MC","Utilities",10,0.00242541838467136
"Without MC","Venture Capital & Private Equity",89,0.000745593458883453
"With MC","Venture Capital & Private Equity",5,0.00121270919233568
"With MC","Veterinary",4,0.000970167353868542
"Without MC","Wholesale",124,0.00103880436968032
"With MC","Wholesale",6,0.00145525103080281
"Without MC","Wireless",151,0.00126499564372361
