"Seniority","Group","NormalizedProfessionals"
"Mid","Without MC",0.770161101667161
"Senior","Without MC",0.186896648523885
"Mid","With MC",0.840669417698304
"Entry","With MC",0.0369096744612563
"Entry","Without MC",0.0429422498089549
"Senior","With MC",0.12242090784044
