"Seniority","Group","NormalizedProfessionals"
"Mid","Without MC",0.786443289042943
"Mid","With MC",0.803571428571428
"Entry","Without MC",0.0335708325309712
"Entry","With MC",0.0178571428571429
"Senior","Without MC",0.179985878426086
"Senior","With MC",0.178571428571429
